_step,train/loss,train/learning_rate
8,3.83203125,1.0800000183053271e-07
150,1.3863118886947632,1.8120000504495692e-06
151,1.43695068359375,1.8240001509184367e-06
252,1.41815185546875,3.0359999527718173e-06
275,1.41802978515625,3.31200021719269e-06
371,1.5457559823989868,4.464000085135922e-06
505,1.47021484375,6.071999905543635e-06
690,1.3279825448989868,8.291999620269053e-06
789,1.3499552011489868,9.479999789618887e-06
873,1.3487142324447632,1.0487999134056736e-05
981,1.3296712636947632,1.1783999980252702e-05
1051,1.3308919668197632,1.262400019186316e-05
1119,1.31719970703125,1.3439999747788534e-05
1231,1.3226318359375,1.4784000086365268e-05
1300,1.3048909902572632,1.5612000424880534e-05
1396,1.3068643808364868,1.676399915595539e-05
1457,1.3382364511489868,1.749600050970912e-05
1559,1.3117471933364868,1.872000029834453e-05
1564,1.3052978515625,1.877999966382049e-05
1598,1.3042806386947632,1.918800080602523e-05
1986,1.3006795644760132,2.384400249866303e-05
2025,1.2859293222427368,2.4311999368364923e-05
2052,1.2840780019760132,2.4635999579913914e-05
2186,1.28271484375,2.624400076456368e-05
2212,1.2881063222885132,2.6555999284028076e-05
2215,1.2880655527114868,2.6592000722303055e-05
2226,1.279052734375,2.672400114533957e-05
2325,1.2735799551010132,2.7911999495700002e-05
2355,1.27783203125,2.827199932653457e-05
2450,1.2716064453125,2.941200182249304e-05
2534,1.2735391855239868,2.999999742314685e-05
2548,1.27001953125,2.9999993785168044e-05
2611,1.26971435546875,2.9999971957295202e-05
2647,1.2703043222427368,2.999995012942236e-05
2649,1.269287109375,2.999995012942236e-05
3225,1.2552694082260132,2.999881689902395e-05
3256,1.2517496347427368,2.999871503561735e-05
3427,1.2485758066177368,2.999806747538969e-05
3504,1.2500814199447632,2.999773460032884e-05
3556,1.2469888925552368,2.999749267473817e-05
3577,1.2480264902114868,2.9997392630320974e-05
3685,1.240203857421875,2.9996845114510506e-05
3712,1.24053955078125,2.9996699595358223e-05
3716,1.2408651113510132,2.999667776748538e-05
4060,1.2323709726333618,2.99945331789786e-05
4315,1.2291463613510132,2.9992601412232034e-05
4563,1.222808837890625,2.999044409079943e-05
4692,1.2214864492416382,2.9989210815983824e-05
4710,1.220123291015625,2.9989032555022277e-05
4787,1.2130330801010132,2.9988257665536366e-05
4797,1.2168782949447632,2.9988155802129768e-05
4814,1.2199503183364868,2.998797754116822e-05
5141,1.2041829824447632,2.9984343200339936e-05
5147,1.2017923593521118,2.9984270440763794e-05
5301,1.206390380859375,2.9982389605720527e-05
5323,1.1992696523666382,2.9982111300341785e-05
5431,1.2051290273666382,2.9980719773448072e-05
5495,1.2004495859146118,2.9979864848428406e-05
5519,1.202850341796875,2.9979542887303978e-05
5529,1.1969808340072632,2.9979406463098712e-05
5865,1.1935526132583618,2.997458796016872e-05
5994,1.191650390625,2.997260344272945e-05
6035,1.187255859375,2.9971959520480596e-05
6099,1.1942850351333618,2.9970933610456996e-05
6201,1.189788818359375,2.996926377818454e-05
6316,1.1807760000228882,2.996732473548036e-05
6527,1.17645263671875,2.9963613997097127e-05
6609,1.1837056875228882,2.996211696881801e-05
6646,1.1797384023666382,2.9961433028802276e-05
6724,1.1767781972885132,2.995996874233242e-05
